,Store,Date,Weekly_Sales,IsHoliday,Temperature,CPI,Unemployment
0,1,2015-05-02,24924.5,False,5.7277777778,211.0963582,8.106
1,1,2015-12-02,46039.49,True,3.6166666667,211.2421698,8.106
2,1,2015-02-19,41595.55,False,4.4055555556,211.2891429,8.106
3,1,2015-02-26,19403.54,False,8.1277777778,211.3196429,8.106
4,1,2015-05-03,21827.9,False,8.0555555556,211.3501429,8.106
5,1,2015-12-03,21043.39,False,14.3277777778,211.3806429,8.106
6,1,2015-03-19,22136.64,False,12.5444444444,211.215635,8.106
7,1,2015-03-26,26229.21,False,10.8055555556,211.0180424,8.106
8,1,2015-02-04,57258.43,False,16.8166666667,210.8204499,7.808
9,1,2015-09-04,42960.91,False,18.8111111111,210.6228574,7.808
10,1,2015-04-16,17596.96,False,19.0666666667,210.4887,7.808
11,1,2015-04-23,16145.35,False,18.2444444444,210.4391228,7.808
12,1,2015-04-30,16555.11,False,19.6722222222,210.3895456,7.808
13,1,2015-07-05,17413.94,False,22.5277777778,210.3399684,7.808
14,1,2015-05-14,18926.74,False,23.7666666667,210.3374261,7.808
15,1,2015-05-21,14773.04,False,24.6888888889,210.6170934,7.808
16,1,2015-05-28,15580.43,False,26.9111111111,210.8967606,7.808
17,1,2015-04-06,17558.09,False,27.05,211.1764278,7.808
18,1,2015-11-06,16637.62,False,26.9055555556,211.4560951,7.808
19,1,2015-06-18,16216.27,False,28.95,211.4537719,7.808
20,1,2015-06-25,16328.72,False,29.0777777778,211.3386526,7.808
21,1,2015-02-07,16333.14,False,27.1722222222,211.2235333,7.787
22,1,2015-09-07,17688.76,False,26.9333333333,211.108414,7.787
23,1,2015-07-16,17150.84,False,28.4166666667,211.1003854,7.787
24,1,2015-07-23,15360.45,False,28.5333333333,211.2351443,7.787
25,1,2015-07-30,15381.82,False,27.6888888889,211.3699032,7.787
26,1,2015-06-08,17508.41,False,30.6444444444,211.5046621,7.787
27,1,2015-08-13,15536.4,False,30.5555555556,211.6394211,7.787
28,1,2015-08-20,15740.13,False,30.3611111111,211.6033633,7.787
29,1,2015-08-27,15793.87,False,29.5666666667,211.5673056,7.787
30,1,2015-03-09,16241.78,False,27.3388888889,211.5312479,7.787
31,1,2015-10-09,18194.74,True,25.9388888889,211.4951902,7.787
32,1,2015-09-17,19354.23,False,27.8388888889,211.5224596,7.787
33,1,2015-09-24,18122.52,False,27.1888888889,211.5972246,7.787
34,1,2015-01-10,20094.19,False,22.1611111111,211.6719895,7.838
35,1,2015-08-10,23388.03,False,17.7388888889,211.7467544,7.838
36,1,2015-10-15,26978.34,False,19.5444444444,211.8137436,7.838
37,1,2015-10-22,25543.04,False,21.0333333333,211.8612937,7.838
38,1,2015-10-29,38640.93,False,20.9111111111,211.9088438,7.838
39,1,2015-05-11,34238.88,False,14.8555555556,211.9563939,7.838
40,1,2015-12-11,19549.39,False,15.3388888889,212.003944,7.838
41,1,2015-11-19,19552.84,False,10.7833333333,211.8896737,7.838
42,1,2015-11-26,18820.29,True,18.0666666667,211.7484333,7.838
43,1,2015-03-12,22517.56,False,9.5944444444,211.607193,7.838
44,1,2015-10-12,31497.65,False,7.9611111111,211.4659526,7.838
45,1,2015-12-17,44912.86,False,9.9111111111,211.4053124,7.838
46,1,2015-12-24,55931.23,False,11.2944444444,211.4051222,7.838
47,1,2015-12-31,19124.58,True,9.1277777778,211.4049321,7.838
48,1,2016-07-01,15984.24,False,9.0388888889,211.4047419,7.742
49,1,2016-01-14,17359.7,False,1.8888888889,211.4574109,7.742
50,1,2016-01-21,17341.47,False,6.6888888889,211.8272343,7.742
51,1,2016-01-28,18461.18,False,6.5722222222,212.1970577,7.742
52,1,2016-04-02,21665.76,False,5.7055555556,212.5668812,7.742
53,1,2016-11-02,37887.17,True,2.4388888889,212.9367046,7.742
54,1,2016-02-18,46845.87,False,14.0888888889,213.2478853,7.742
55,1,2016-02-25,19363.83,False,17.1666666667,213.535609,7.742
56,1,2016-04-03,20327.61,False,15.3222222222,213.8233327,7.742
57,1,2016-11-03,21280.4,False,11.9777777778,214.1110564,7.742
58,1,2016-03-18,20334.23,False,17.0888888889,214.3627114,7.742
59,1,2016-03-25,20881.1,False,21.0944444444,214.5999389,7.742
